    1 |   3 |   ::: | label_basic_block_1: s_mov_b64 s[28:29], exec
   81 |   4 | ::::  | s_load_dwordx8 s[16:23], s[4:5], 0xa0
   82 |   4 | ::::  | s_waitcnt vmcnt(0)
   83 |   4 | x:::  | v_add_f32 v0, 0x358637bd, v0
   84 |   4 | :x::  | v_add_f32 v1, 0x358637bd, v1
   85 |   4 | ::::  | s_waitcnt lgkmcnt(0)
   86 |   4 | xxvv  | image_sample v[0:1], v[0:3], s[8:15], s[16:19]
   87 |   4 | ::::  | s_load_dwordx8 s[8:15], s[0:1], 0x160
   88 |   4 | ::::  | s_waitcnt vmcnt(0)
   89 |   4 | x:::  | v_add_f32 v0, 0x358637bd, v0
   90 |   4 | :x::  | v_add_f32 v1, 0x358637bd, v1
   91 |   4 | ::::  | s_waitcnt lgkmcnt(0)
   92 |   4 | xxvv  | image_sample v[0:1], v[0:3], s[8:15], s[20:23]
   93 |   4 | ::::  | s_load_dwordx8 s[8:15], s[0:1], 0x180
   94 |   4 | ::::  | s_load_dwordx8 s[16:23], s[4:5], 0xc0
   95 |   4 | ::::  | s_waitcnt vmcnt(0)
   96 |   4 | x:::  | v_add_f32 v0, 0x358637bd, v0
   97 |   4 | :x::  | v_add_f32 v1, 0x358637bd, v1
   98 |   4 | ::::  | s_waitcnt lgkmcnt(0)
   99 |   4 | xxvv  | image_sample v[0:1], v[0:3], s[8:15], s[16:19]
  100 |   4 | ::::  | s_load_dwordx8 s[8:15], s[0:1], 0x1a0
  101 |   4 | ::::  | s_waitcnt vmcnt(0)
  102 |   4 | x:::  | v_add_f32 v0, 0x358637bd, v0
  103 |   4 | :x::  | v_add_f32 v1, 0x358637bd, v1
  104 |   4 | ::::  | s_waitcnt lgkmcnt(0)
  105 |   4 | xxvv  | image_sample v[0:1], v[0:3], s[8:15], s[20:23]
  106 |   4 | ::::  | s_load_dwordx8 s[8:15], s[0:1], 0x1c0
  107 |   4 | ::::  | s_load_dwordx8 s[16:23], s[4:5], 0xe0
  108 |   4 | ::::  | s_waitcnt vmcnt(0)
  109 |   4 | x:::  | v_add_f32 v0, 0x358637bd, v0
  110 |   4 | :x::  | v_add_f32 v1, 0x358637bd, v1
  111 |   4 | ::::  | s_waitcnt lgkmcnt(0)
  112 |   4 | xxvv  | image_sample v[0:1], v[0:3], s[8:15], s[16:19]
  113 |   4 | ::::  | s_load_dwordx8 s[0:7], s[0:1], 0x1e0
  114 |   4 | ::::  | s_waitcnt vmcnt(0)
  115 |   4 | x:::  | v_add_f32 v0, 0x358637bd, v0
  116 |   4 | :x::  | v_add_f32 v1, 0x358637bd, v1
  117 |   4 | ::::  | s_waitcnt lgkmcnt(0)
  118 |   4 | xxvv  | image_sample v[0:1], v[0:3], s[0:7], s[20:23]
  119 |   2 | ::    | s_waitcnt vmcnt(0)
  120 |   2 | x:    | v_add_f32 v0, 0x358637bd, v0
  121 |   2 | :x    | v_add_f32 v1, 0x358637bd, v1
  122 |   2 | x:    | v_mul_f32 v0, 0x3f800008, v0
  123 |   2 | :x    | v_mul_f32 v1, 0x3f800008, v1
  124 |   3 | ::^   | v_mov_b32 v2, 0
  125 |   4 | :::^  | v_mov_b32 v3, 1.0
  126 |   4 | ::::  | s_mov_b64 exec, s[28:29]
  127 |   4 | xv::  | v_cvt_pkrtz_f16_f32 v0, v0, v1
  128 |   4 | :^vv  | v_cvt_pkrtz_f16_f32 v1, v2, v3
  129 |   2 | vv    | exp mrt0, v0, v0, v1, v1
  130 |   0 |       | s_endpgm 

Maximum # VGPR used   5, # VGPR allocated:   5
